ccd,x0,x1,y1,y2,tape
33,1,138,1,115,s1
33,1903,2048,1,114,s2
33,1918,2048,2048,2179,s3
33,1,140,2089,2233,s4
33,1913,2048,3974,4096,s5
33,1,131,3996,4096,s6
43,1,142,1,115,s1
43,1909,2048,1,111,s2
43,1902,2048,1966,2125,s3
43,1,162,2044,2196,s4
43,1,149,3951,4096,s5
43,1901,2048,3961,4096,s6
7,1,146,1,108,s1
7,1909,2048,1,108,s2
7,1898,2048,1956,2098,s3
7,1,138,2036,2175,s4
7,1907,2048,3970,4096,s5
7,1,146,3975,4096,s6
30,1,134,1,110,s1
30,1904,2048,1,138,s2
30,1907,2048,1964,2110,s3
30,1,127,2174,2326,s4
30,1,149,3962,4096,s5
30,1899,2048,3965,4096,s6
62,1,133,1,109,s1
62,1905,2048,1,135,s2
62,1,139,1914,2060,s3
62,1906,2048,1931,2071,s4
62,1,147,3975,4096,s5
62,1908,2048,3977,4096,s6
47,1,130,1,122,s1
47,1893,2048,1,120,s2
47,1913,2048,1880,2030,s3
47,1,150,1910,2072,s4
47,1902,2048,3969,4096,s5
47,1,134,3980,4096,s6
39,1,143,1,129,s1
39,1896,2048,1,144,s2
39,1891,2048,2001,2153,s3
39,1,129,2026,2170,s4
39,1902,2048,3980,4096,s5
39,1,155,3999,4096,s6
32,1,136,1,112,s1
32,1922,2048,1,140,s2
32,1,136,1938,2097,s3
32,1900,2048,1940,2081,s4
32,1906,2048,3959,4096,s5
32,1,149,3970,4096,s6
19,1,145,1,121,s1
19,1917,2048,1,121,s2
19,1892,2048,1944,2085,s3
19,1,137,2056,2200,s4
19,1,141,3974,4096,s5
19,1913,2048,3987,4096,s6
14,1,144,1,113,s1
14,1912,2048,1,123,s2
14,1912,2048,1914,2072,s3
14,1,148,1942,2101,s4
14,1,154,3969,4096,s5
14,1909,2048,3982,4096,s6
16,1,150,1,108,s1
16,1890,2048,1,113,s2
16,1900,2048,2020,2171,s3
16,1,148,2167,2301,s4
16,1901,2048,3964,4096,s5
16,1,135,3971,4096,s6
9,1,157,1,132,s1
9,1908,2048,1,120,s2
9,1873,2048,1942,2091,s3
9,1,175,1971,2127,s4
9,1,151,3971,4096,s5
9,1903,2048,3975,4096,s6
26,1,146,1,106,s1
26,1911,2048,1,115,s2
26,1894,2048,2013,2150,s3
26,1,154,2051,2206,s4
26,1,152,3970,4096,s5
26,1913,2048,3970,4096,s6
8,1,154,1,138,s1
8,1893,2048,1,122,s2
8,1877,2048,1906,2082,s3
8,1,157,2024,2166,s4
8,1872,2048,3968,4096,s5
8,1,164,3976,4096,s6
41,1,138,1,121,s1
41,1913,2048,1,130,s2
41,1,143,1917,2064,s3
41,1889,2048,1794,1984,s4
41,1886,2048,3969,4096,s5
41,1,138,3976,4096,s6
52,1,137,1,115,s1
52,1893,2048,1,131,s2
52,1,145,1852,2004,s3
52,1908,2048,1822,1954,s4
52,1895,2048,3957,4096,s5
52,1,142,3962,4096,s6
50,1,140,1,122,s1
50,1899,2048,1,121,s2
50,1895,2048,2066,2209,s3
50,1,142,2123,2280,s4
50,1896,2048,3963,4096,s5
50,1,154,3971,4096,s6
28,1,161,1,117,s1
28,1921,2048,1,114,s2
28,1889,2048,1937,2081,s3
28,1,142,2181,2315,s4
28,1897,2048,3953,4096,s5
28,1,142,3983,4096,s6
34,1,125,1,116,s1
34,1907,2048,1,133,s2
34,1906,2048,1915,2058,s3
34,1,139,2011,2161,s4
34,1,142,3962,4096,s5
34,1901,2048,3982,4096,s6
12,1,134,1,128,s1
12,1918,2048,1,113,s2
12,1,136,1912,2046,s3
12,1918,2048,1949,2076,s4
12,1907,2048,4000,4096,s5
12,1,135,3987,4096,s6
31,1,185,1,112,s1
31,1905,2048,1,102,s2
31,1908,2048,1992,2141,s3
31,1,153,2071,2215,s4
31,1,165,3967,4096,s5
31,1904,2048,3968,4096,s6
38,1,147,1,120,s1
38,1927,2048,1,102,s2
38,1917,2048,1956,2114,s3
38,1,142,1984,2121,s4
38,1,135,3972,4096,s5
38,1897,2048,3981,4096,s6
22,1,158,1,138,s1
22,1895,2048,1,127,s2
22,1904,2048,1863,1995,s3
22,1,155,1930,2087,s4
22,1901,2048,3974,4096,s5
22,1,167,3967,4096,s6
36,1,150,1,131,s1
36,1915,2048,1,131,s2
36,1907,2048,1998,2142,s3
36,1,132,2037,2188,s4
36,1913,2048,3980,4096,s5
36,1,154,3981,4096,s6
17,1,162,1,142,s1
17,1896,2048,1,148,s2
17,1,163,1877,2012,s3
17,1895,2048,1947,2101,s4
17,1,154,3978,4096,s5
17,1894,2048,3993,4096,s6
25,1,127,1,118,s1
25,1885,2048,1,122,s2
25,1915,2048,1996,2143,s3
25,1,133,2037,2177,s4
25,1897,2048,3971,4096,s5
25,1,142,3983,4096,s6
55,1,151,1,126,s1
55,1908,2048,1,145,s2
55,1,149,1966,2126,s3
55,1903,2048,1964,2113,s4
55,1898,2048,3964,4096,s5
55,1,148,3971,4096,s6
18,1,120,1,104,s1
18,1892,2048,1,110,s2
18,1,127,1926,2058,s3
18,1922,2048,2016,2160,s4
18,1,135,3972,4096,s5
18,1928,2048,3984,4096,s6
40,1,148,1,113,s1
40,1906,2048,1,113,s2
40,1895,2048,2000,2142,s3
40,1,161,2069,2225,s4
40,1,142,3957,4096,s5
40,1898,2048,3958,4096,s6
6,1,143,1,109,s1
6,1896,2048,1,119,s2
6,1896,2048,1823,1965,s3
6,1,152,2074,2205,s4
6,1905,2048,3979,4096,s5
6,1,152,3989,4096,s6
49,1,141,1,117,s1
49,1891,2048,1,129,s2
49,1905,2048,1865,2015,s3
49,1,150,1998,2144,s4
49,1,139,3980,4096,s5
49,1901,2048,3990,4096,s6
20,1,153,1,124,s1
20,1903,2048,1,113,s2
20,1910,2048,1935,2094,s3
20,1,151,2053,2202,s4
20,1903,2048,3970,4096,s5
20,1,136,3975,4096,s6
13,1,144,1,81,s1
13,1896,2048,1,123,s2
13,1903,2048,1996,2145,s3
13,1,138,1976,2124,s4
13,1,175,3963,4096,s5
13,1907,2048,3986,4096,s6
5,1,144,1,121,s1
5,1905,2048,1,126,s2
5,1909,2048,1937,2083,s3
5,1,141,1992,2144,s4
5,1896,2048,3967,4096,s5
5,1,149,3979,4096,s6
53,1,146,1,161,s1
53,1909,2048,1,123,s2
53,1907,2048,1863,2010,s3
53,1,150,1895,2038,s4
53,1903,2048,3965,4096,s5
53,1,152,3977,4096,s6
21,1,147,1,129,s1
21,1901,2048,1,122,s2
21,1897,2048,1855,2003,s3
21,1,126,2023,2168,s4
21,1917,2048,3946,4096,s5
21,1,126,3971,4096,s6
2,1,148,1,116,s1
2,1915,2048,1,133,s2
2,1918,2048,2020,2165,s3
2,1,149,2070,2205,s4
2,1,139,3983,4096,s5
2,1927,2048,3986,4096,s6
35,1,137,1,113,s1
35,1901,2048,1,107,s2
35,1886,2048,2121,2263,s3
35,1,136,2072,2219,s4
35,1,156,3938,4096,s5
35,1913,2048,3987,4096,s6
11,1,153,1,121,s1
11,1922,2048,1958,2098,s2
11,1,158,2034,2184,s3
11,1,153,3957,4096,s4
11,1918,2048,3972,4096,s5
11,1918,2048,1,117,s6
3,1,164,1,128,s1
3,1905,2048,1,89,s2
3,1,153,2019,2169,s3
3,1906,2048,2049,2188,s4
3,1,155,3977,4096,s5
3,1899,2048,3959,4096,s6
59,1,130,1,121,s1
59,1896,2048,1,115,s2
59,1894,2048,1966,2125,s3
59,1,139,2120,2278,s4
59,1899,2048,3968,4096,s5
59,1,145,3970,4096,s6
60,1,151,1,138,s1
60,1897,2048,1,138,s2
60,1893,2048,1910,2048,s3
60,1,146,1884,2036,s4
60,1882,2048,3963,4096,s5
60,1,153,3967,4096,s6
10,1,134,1,110,s1
10,1918,2048,1,117,s2
10,1888,2048,1937,2103,s3
10,1,158,2087,2251,s4
10,1,141,3977,4096,s5
10,1918,2048,3972,4096,s6
4,1,138,1,126,s1
4,1904,2048,1,120,s2
4,1907,2048,1941,2072,s3
4,1,159,2024,2174,s4
4,1,164,3981,4096,s5
4,1918,2048,3993,4096,s6
51,1,141,1,122,s1
51,1906,2048,1,113,s2
51,1,156,2010,2147,s3
51,1903,2048,2038,2178,s4
51,1,148,3964,4096,s5
51,1913,2048,3980,4096,s6
37,1,133,1,129,s1
37,1899,2048,1,135,s2
37,1890,2048,1970,2125,s3
37,1,136,2026,2171,s4
37,1872,2048,3941,4096,s5
37,1,136,3970,4096,s6
45,1,153,1,134,s1
45,1877,2048,1,141,s2
45,1895,2048,1886,2041,s3
45,1,164,1912,2065,s4
45,1876,2048,3966,4096,s5
