 # ccd  x1  x2   y1   y2  BPMDEF_value
 25     1  127    1  118    16384
 25  1885 2048    1  122    16384
 25  1915 2048 1996 2143    16384
 25     1  133 2037 2177    16384
 25  1897 2048 3971 4096    16384
 25     1  142 3983 4096    16384
 26     1  146    1  106    16384
 26  1911 2048    1  115    16384
 26  1894 2048 2013 2150    16384
 26     1  154 2051 2206    16384
 26     1  152 3970 4096    16384
 26  1913 2048 3970 4096    16384
 27     1  140    1  139    16384
 27  1900 2048    1  125    16384
 27  1920 2048 1998 2160    16384
 27     1  121 2083 2222    16384
 27     1  134 3973 4096    16384
 27  1914 2048 4000 4096    16384
 32     1  136    1  112    16384
 32  1922 2048    1  140    16384
 32     1  136 1938 2097    16384
 32  1900 2048 1940 2081    16384
 32  1906 2048 3959 4096    16384
 32     1  149 3970 4096    16384
 33     1  138    1  115    16384
 33  1903 2048    1  114    16384
 33  1918 2048 2048 2179    16384
 33     1  140 2089 2233    16384
 33  1913 2048 3974 4096    16384
 33     1  131 3996 4096    16384
 34     1  125    1  116    16384
 34  1907 2048    1  133    16384
 34  1906 2048 1915 2058    16384
 34     1  139 2011 2161    16384
 34     1  142 3962 4096    16384
 34  1901 2048 3982 4096    16384
 19     1  145    1  121    16384
 19  1917 2048    1  121    16384
 19  1892 2048 1944 2085    16384
 19     1  137 2056 2200    16384
 19     1  141 3974 4096    16384
 19  1913 2048 3987 4096    16384
 20     1  153    1  124    16384
 20  1903 2048    1  113    16384
 20  1910 2048 1935 2094    16384
 20     1  151 2053 2202    16384
 20  1903 2048 3970 4096    16384
 20     1  136 3975 4096    16384
 13     1  144    1   81    16384
 13  1896 2048    1  123    16384
 13  1903 2048 1996 2145    16384
 13     1  138 1976 2124    16384
 13     1  175 3963 4096    16384
 13  1907 2048 3986 4096    16384
 14     1  144    1  113    16384
 14  1912 2048    1  123    16384
 14  1912 2048 1914 2072    16384
 14     1  148 1942 2101    16384
 14     1  154 3969 4096    16384
 14  1909 2048 3982 4096    16384
 08     1  154    1  138    16384
 08  1893 2048    1  122    16384
 08  1877 2048 1906 2082    16384
 08     1  157 2024 2166    16384
 08  1872 2048 3968 4096    16384
 08     1  164 3976 4096    16384
 04     1  138    1  126    16384
 04  1904 2048    1  120    16384
 04  1907 2048 1941 2072    16384
 04     1  159 2024 2174    16384
 04     1  164 3981 4096    16384
 04  1918 2048 3993 4096    16384
 39     1  143    1  129    16384
 39  1896 2048    1  144    16384
 39  1891 2048 2001 2153    16384
 39     1  129 2026 2170    16384
 39  1902 2048 3980 4096    16384
 39     1  155 3999 4096    16384
 40     1  148    1  113    16384
 40  1906 2048    1  113    16384
 40  1895 2048 2000 2142    16384
 40     1  161 2069 2225    16384
 40     1  142 3957 4096    16384
 40  1898 2048 3958 4096    16384
 45     1  153    1  134    16384
 45  1877 2048    1  141    16384
 45  1895 2048 1886 2041    16384
 45     1  164 1912 2065    16384
 45  1876 2048 3966 4096    16384
 45     1  151 3983 4096    16384
 46     1  159    1  127    16384
 46  1899 2048    1  100    16384
 46  1897 2048 1950 2110    16384
 46     1  201 2006 2154    16384
 46  1894 2048 3955 4096    16384
 46     1  145 3967 4096    16384
 51     1  141    1  122    16384
 51  1906 2048    1  113    16384
 51     1  156 2010 2147    16384
 51  1903 2048 2038 2178    16384
 51     1  148 3964 4096    16384
 51  1913 2048 3980 4096    16384
 56     1  134    1   93    16384
 56  1916 2048    1  108    16384
 56  1902 2048 1955 2095    16384
 56     1  140 2063 2217    16384
 56     1  145 3951 4096    16384
 56  1919 2048 3973 4096    16384
 21     1  147    1  129    16384
 21  1901 2048    1  122    16384
 21  1897 2048 1855 2003    16384
 21     1  126 2023 2168    16384
 21  1917 2048 3946 4096    16384
 21     1  126 3971 4096    16384
 22     1  158    1  138    16384
 22  1895 2048    1  127    16384
 22  1904 2048 1863 1995    16384
 22     1  155 1930 2087    16384
 22  1901 2048 3974 4096    16384
 22     1  167 3967 4096    16384
 23     1  139    1  120    16384
 23  1912 2048    1  130    16384
 23  1893 2048 1925 2083    16384
